시도명,시군구명,id,호흡기질환사망,아황산가스,일산화탄소,이산화질소,미세먼지,초미세먼지,오존,slat,slong
서울,종로구,11110,76,0.004,0.6,0.03,38,23,0.023,37.59560119,126.9765432
서울,중구,11140,77,0.003,0.6,0.032,38,23,0.027,37.56041379,126.9951094
서울,용산구,11170,111,0.003,0.5,0.032,34,24,0.023,37.53173196,126.9794739
서울,성동구,11200,143,0.005,0.6,0.024,42,24,0.03,37.55194209,127.0395496
서울,광진구,11215,145,0.004,0.8,0.022,41,23,0.027,37.54643922,127.0858896
서울,동대문구,11230,228,0.004,0.5,0.027,48,28,0.025,37.58252417,127.0550644
서울,중랑구,11260,243,0.004,0.5,0.032,45,26,0.027,37.59870008,127.0930346
서울,성북구,11290,236,0.004,0.7,0.027,43,26,0.022,37.60581637,127.0172983
서울,강북구,11305,217,0.005,0.5,0.029,39,25,0.027,37.63963685,127.0093564
서울,도봉구,11320,221,0.006,0.5,0.024,38,24,0.025,37.66901948,127.0320271
서울,노원구,11350,336,0.003,0.7,0.032,44,22,0.023,37.65302049,127.075305
서울,은평구,11380,284,0.003,0.5,0.021,45,25,0.028,37.61944908,126.9263305
서울,서대문구,11410,174,0.004,0.5,0.019,38,22,0.029,37.57828751,126.9387115
서울,마포구,11440,162,0.004,0.5,0.026,40,26,0.022,37.55981511,126.9078803
서울,양천구,11470,187,0.004,0.5,0.032,48,26,0.024,37.52497448,126.8554428
서울,강서구,11500,243,0.005,0.5,0.03,47,26,0.027,37.56154709,126.824126
서울,구로구,11530,186,0.005,0.4,0.025,42,24,0.028,37.49435519,126.8559284
서울,금천구,11545,99,0.004,0.5,0.031,39,25,0.022,37.46102559,126.9003545
서울,영등포구,11560,154,0.003,0.5,0.031,45,29,0.022,37.52285657,126.9105507
서울,동작구,11590,159,0.003,0.5,0.03,44,27,0.024,37.49917037,126.9515781
서울,관악구,11620,194,0.004,0.5,0.031,49,28,0.026,37.46796245,126.9450234
서울,서초구,11650,157,0.004,0.4,0.03,44,26,0.027,37.47393535,127.0307198
서울,강남구,11680,206,0.005,0.5,0.028,40,25,0.022,37.49666651,127.0630076
서울,송파구,11710,223,0.003,0.5,0.033,40,23,0.023,37.50514077,127.1154451
서울,강동구,11740,187,0.004,0.5,0.03,42,26,0.022,37.55019225,127.1470046
